contig_id,cluster_id
contig_510,8
contig_511,11
contig_512,13
contig_513,1
contig_514,1
contig_515,11
contig_516,2
contig_517,11
contig_518,1
contig_519,9
contig_52,11
contig_520,13
contig_521,9
contig_522,2
contig_523,11
contig_524,1
contig_526,11
contig_527,0
contig_528,13
contig_529,9
contig_530,5
contig_531,9
contig_532,11
contig_533,1
contig_534,2
contig_535,2
contig_536,1
contig_537,13
contig_538,0
contig_539,13
contig_54,2
contig_540,5
contig_541,11
contig_542,1
contig_543,2
contig_544,13
contig_545,13
contig_546,9
contig_547,2
contig_55,2
contig_550,11
contig_551,1
contig_552,11
contig_553,11
contig_554,0
contig_555,1
contig_556,0
contig_557,2
contig_558,5
contig_559,0
contig_56,9
contig_560,7
contig_561,9
contig_562,9
contig_563,11
contig_564,2
contig_565,11
contig_566,13
contig_567,14
contig_569,2
contig_57,2
contig_570,9
contig_571,11
contig_572,14
contig_573,13
contig_574,11
contig_575,5
contig_577,13
contig_578,11
contig_579,2
contig_58,2
contig_581,0
contig_582,13
contig_583,12
contig_585,0
contig_586,11
contig_587,11
contig_588,1
contig_589,11
contig_59,11
contig_591,11
contig_592,1
contig_593,14
contig_594,2
contig_595,1
contig_596,2
contig_597,1
contig_598,1
contig_599,9
contig_60,11
contig_600,7
contig_601,12
contig_602,2
contig_603,1
contig_604,12
contig_605,0
contig_606,2
contig_607,11
contig_61,11
contig_610,2
contig_611,9
contig_612,13
contig_613,2
contig_614,10
contig_615,7
contig_617,11
contig_618,2
contig_619,0
contig_62,11
contig_620,1
contig_621,11
contig_622,2
contig_623,13
contig_624,1
contig_625,0
contig_626,5
contig_627,8
contig_628,1
contig_629,1
contig_63,11
contig_630,10
contig_631,1
contig_632,11
contig_633,11
contig_634,2
contig_635,2
contig_636,1
contig_637,10
contig_638,8
contig_639,5
contig_64,11
contig_640,5
contig_641,11
contig_643,9
contig_644,11
contig_645,2
contig_646,5
contig_647,11
contig_648,13
contig_649,11
contig_65,14
contig_650,13
contig_651,11
contig_653,11
contig_66,11
contig_67,11
contig_68,7
contig_69,13
contig_70,11
contig_72,11
contig_73,6
contig_74,11
contig_75,12
contig_76,14
contig_77,5
contig_78,11
contig_81,2
contig_82,2
contig_83,2
contig_84,11
contig_86,11
contig_88,9
contig_89,11
contig_90,1
contig_91,14
contig_92,2
contig_93,11
contig_94,12
contig_95,2
contig_96,5
contig_97,13
contig_98,11
