contig,contig_length,nr_genes,ratio_same_orientation,ID_general_avg,ID_general_std,gene_density,gene_length,ID_Q1,ID_Q3,rbs_ratio
contig_1,7010,10,0.4444444444444444,114.66666666666667,164.1503375973785,0.7950071326676177,557.3,0.0,148.0,0.19999999999999996
contig_100,20561,26,0.56,235.8,288.48833598604983,0.7158698506881961,566.1153846153846,3.0,410.0,0.6923076923076923
contig_101,6144,8,0.8571428571428571,168.57142857142858,188.54317970227643,0.7667643229166666,588.875,11.5,277.0,0.25
contig_102,12453,20,0.8947368421052632,242.68421052631578,236.40532824870238,0.6107765197141252,380.3,49.5,290.5,0.7
contig_103,9820,9,0.875,514.5,428.3085920221541,0.47657841140529533,520.0,180.75,709.5,0.7777777777777778
contig_104,21635,31,0.6333333333333333,138.5,228.77539931848733,0.808920730298128,564.5483870967741,0.0,162.75,0.5483870967741935
contig_105,14729,21,0.8,191.15,203.34755346450572,0.7477086020775341,524.4285714285714,19.0,301.75,0.6666666666666667
contig_106,87061,111,0.7909090909090909,196.4090909090909,234.71790788304105,0.7510596018883312,589.081081081081,23.0,291.5,0.7927927927927928
contig_107,6203,5,0.75,704.0,497.2212787079813,0.5418345961631469,672.2,500.0,870.0,0.4
contig_108,29150,36,0.6571428571428571,182.85714285714286,174.1661182167584,0.7825728987993139,633.6666666666666,51.5,240.0,0.7777777777777778
contig_109,10304,11,1.0,109.5,90.17233500359187,0.8703416149068323,815.2727272727273,7.25,179.0,0.0
contig_110,65567,81,0.8125,238.6875,314.0176982970068,0.7082831302331966,573.3333333333334,22.5,329.75,0.7037037037037037
contig_111,8722,12,0.7272727272727273,186.54545454545453,242.50374453954828,0.7463884430176565,542.5,15.5,172.5,0.5
contig_112,23584,34,0.7878787878787878,93.93939393939394,111.56271218981655,0.8379833785617368,581.2647058823529,5.0,136.0,0.6176470588235294
contig_113,51439,72,0.7323943661971831,176.0281690140845,221.09796259952643,0.751122689010284,536.625,1.5,281.5,0.7083333333333333
contig_114,8748,10,0.6666666666666666,177.77777777777777,195.33661986869845,0.8054412437128486,704.6,61.0,147.0,0.5
contig_115,16496,17,0.75,282.3125,407.1742131370183,0.6076624636275461,589.6470588235294,4.5,318.0,0.8823529411764706
contig_117,12567,17,0.8125,365.0,413.89884029796457,0.5259807432163603,388.8235294117647,97.25,474.0,0.8235294117647058
contig_118,51252,56,0.7090909090909091,186.8909090909091,306.6157602974934,0.8083782096308437,739.8392857142857,10.5,255.5,0.8035714285714286
contig_119,13512,23,0.8181818181818182,60.90909090909091,85.47456245249977,0.9139283599763174,536.9130434782609,0.0,111.0,0.5217391304347826
contig_120,15257,20,0.631578947368421,138.21052631578948,158.3053607987352,0.8235564003408271,628.25,11.5,215.0,0.75
contig_121,35864,57,0.625,202.875,310.9025491842833,0.6898561231318313,434.05263157894734,4.5,252.5,0.5789473684210527
contig_122,27392,41,0.75,219.025,264.6754132423335,0.678081191588785,453.0243902439024,36.75,285.75,0.6585365853658536
contig_123,7654,12,0.9090909090909091,220.8181818181818,432.14009053921353,0.6639665534361119,423.5,0.0,139.5,0.25
contig_124,18769,33,0.6875,153.21875,199.98480166862055,0.7454845756300282,424.0,0.0,228.25,0.6363636363636364
contig_125,20732,29,0.6785714285714286,223.96428571428572,254.32971880483598,0.6843526914914142,489.2413793103448,23.5,308.75,0.6206896551724138
contig_126,75411,86,0.7411764705882353,209.2941176470588,332.07500299248176,0.7729774170876927,677.8023255813954,5.0,259.0,0.7325581395348837
contig_127,12982,20,0.7894736842105263,108.63157894736842,132.65595014183586,0.7173779078724387,465.65,0.0,146.0,0.6
contig_128,12923,24,0.6521739130434783,142.17391304347825,136.29751733804315,0.7475044494312466,402.5,52.0,175.5,0.7916666666666666
contig_129,12858,21,0.8,141.65,172.89195325404822,0.7529164722351843,461.0,13.75,215.25,0.6666666666666667
contig_13,110593,144,0.7412587412587412,184.36363636363637,235.44709872934,0.7624171511759333,585.5416666666666,5.0,290.0,0.6805555555555556
contig_130,19781,26,0.52,189.84,188.75649498758975,0.7641170820484303,581.3461538461538,32.0,286.0,0.6153846153846154
contig_131,19616,23,0.7727272727272727,184.04545454545453,296.6961220558422,0.7739090538336052,660.0434782608696,0.0,270.25,0.6086956521739131
contig_132,24350,39,0.5789473684210527,194.60526315789474,217.7189810492904,0.7107597535934291,443.7692307692308,20.0,294.75,0.0
contig_133,12009,16,0.6666666666666666,188.2,217.2777638569273,0.7640935964693146,573.5,24.5,261.0,0.9375
contig_134,12097,18,0.7647058823529411,153.8235294117647,180.9784632276701,0.7315863437215838,491.6666666666667,42.0,180.0,0.7777777777777778
contig_135,10208,12,0.7272727272727273,274.6363636363636,245.04666447147378,0.6215713166144201,528.75,26.5,391.5,0.41666666666666663
contig_136,43853,60,0.711864406779661,219.96610169491527,245.98738882526965,0.7020272273276629,513.1,23.5,363.5,0.2666666666666667
contig_137,5433,12,0.36363636363636365,95.54545454545455,105.60248244014277,0.8299282164549973,375.75,0.0,183.0,0.0
contig_138,10764,18,0.8823529411764706,244.88235294117646,367.81659150002866,0.612597547380156,366.3333333333333,30.0,290.0,0.5555555555555556
contig_139,13154,15,0.7142857142857143,93.42857142857143,127.63212441886826,0.9051999391819979,793.8,21.75,116.25,0.5333333333333333
contig_14,98517,129,0.7109375,215.21875,284.21146224851225,0.726026980115107,554.4651162790698,19.5,271.0,0.7364341085271318
contig_140,32545,40,0.8461538461538461,247.30769230769232,325.13383073673884,0.6790597634045168,552.5,8.0,396.5,0.19999999999999996
contig_141,10256,17,0.5,128.75,173.53079697851905,0.8077223088923557,487.29411764705884,41.25,131.5,0.0
contig_142,10650,19,0.8333333333333334,149.55555555555554,215.2944294635249,0.7469483568075117,418.6842105263158,7.5,191.0,0.5263157894736843
contig_143,32583,49,0.6875,234.91666666666666,343.2089277037466,0.6561703956050702,436.3265306122449,14.0,295.75,0.6938775510204082
contig_144,8025,16,0.6666666666666666,136.53333333333333,145.91589662846502,0.7258566978193146,364.0625,22.5,210.0,0.0
contig_145,6698,10,0.4444444444444444,308.8888888888889,351.78669182220335,0.565989847715736,379.1,38.0,354.0,0.8
contig_146,8027,12,0.6363636363636364,115.54545454545455,141.28846291210797,0.863336240189361,577.5,0.0,144.5,0.5833333333333333
contig_147,17708,20,0.631578947368421,281.4736842105263,434.52592054245594,0.7115992771628642,630.05,0.0,349.0,0.5
contig_148,7113,9,0.625,295.75,334.42702866245725,0.6668072543230704,527.0,44.25,407.25,0.5555555555555556
contig_149,47887,54,0.7169811320754716,160.26415094339623,245.7807852034461,0.8281997201745777,734.4444444444445,0.0,197.0,0.6481481481481481
contig_15,73597,77,0.7368421052631579,225.85526315789474,367.5392461660376,0.7410764025707569,708.3246753246754,23.75,326.0,0.7532467532467533
contig_150,21250,45,0.7045454545454546,88.79545454545455,116.67682241315003,0.8354823529411765,394.53333333333336,0.0,125.75,0.0
contig_151,15770,19,0.5555555555555556,214.0,208.53137253980117,0.7214965123652505,598.8421052631579,28.25,388.0,0.6842105263157895
contig_152,15250,24,0.7391304347826086,226.1304347826087,232.21828268431932,0.662360655737705,420.875,50.0,421.0,0.625
contig_153,57855,76,0.8266666666666667,172.49333333333334,203.5539812651398,0.7867600034569182,598.921052631579,8.0,275.0,0.6973684210526316
contig_154,8287,14,0.6153846153846154,117.15384615384616,140.32590974850496,0.7683118136840835,454.7857142857143,0.0,272.0,0.9285714285714286
contig_156,16423,25,0.875,238.91666666666666,334.33577391930737,0.6593801376118857,433.16,9.25,287.75,0.56
contig_158,11293,10,0.8888888888888888,153.88888888888889,151.31970896412554,0.8531833879394315,963.5,0.0,273.0,0.7
contig_16,32836,51,0.64,118.24,142.03711627599316,0.8129492020952613,523.4117647058823,11.5,148.25,0.0
contig_160,8498,12,0.8181818181818182,230.0,167.20863396585497,0.6922805365968463,490.25,126.0,273.5,0.5833333333333333
contig_161,16554,26,0.76,101.4,124.85896043136032,0.8307961821916153,528.9615384615385,15.0,144.0,0.8076923076923077
contig_162,10331,17,0.875,149.5,256.13521819538994,0.7751427741748137,471.05882352941177,9.75,133.5,0.23529411764705888
contig_163,15636,23,0.8181818181818182,175.45454545454547,195.46116267868274,0.6886671783064723,468.17391304347825,37.75,222.25,0.7391304347826086
contig_164,25983,48,0.7446808510638298,134.40425531914894,220.0256909152732,0.773236346842166,418.5625,0.0,174.0,0.3125
contig_165,78311,108,0.8037383177570093,195.50467289719626,292.1695952834082,0.7394363499380674,536.1666666666666,17.0,266.0,0.6759259259259259
contig_166,23659,37,0.8611111111111112,185.52777777777777,238.66544297999974,0.716260196965214,458.0,25.75,291.25,0.6756756756756757
contig_167,19445,25,0.8333333333333334,278.5416666666667,561.5240406820432,0.6382103368475186,496.4,34.0,305.75,0.92
contig_168,6389,10,0.3333333333333333,150.55555555555554,113.0045339415991,0.7675692596650493,490.4,78.0,253.0,0.8
contig_169,14411,18,0.6470588235294118,324.7647058823529,346.2206928623562,0.5926722642425925,474.5,36.0,490.0,0.7222222222222222
contig_17,5749,8,0.5714285714285714,78.28571428571429,58.34066037560103,0.9024178117933553,648.5,20.5,123.5,0.5
contig_170,8804,8,0.8571428571428571,183.71428571428572,183.802467172711,0.8322353475692867,915.875,34.0,334.0,0.625
contig_171,15372,23,0.5909090909090909,215.0,275.23791361458376,0.6989331251626334,467.1304347826087,0.0,314.5,0.782608695652174
contig_172,9145,13,0.8333333333333334,256.1666666666667,174.2114774889671,0.6658283214871514,468.38461538461536,124.5,393.0,0.15384615384615385
contig_173,7867,9,0.625,161.75,167.0664164337046,0.6414134994279903,560.6666666666666,52.5,210.25,0.6666666666666667
contig_174,5195,8,1.0,207.71428571428572,241.85811323744238,0.7255052935514918,471.125,27.0,250.0,0.0
contig_175,10043,16,0.7333333333333333,212.06666666666666,261.6033808819926,0.6543861395997213,410.75,41.5,214.0,0.625
contig_176,15674,23,0.7727272727272727,136.72727272727272,186.1715196015325,0.8202118157458211,558.9565217391304,0.0,211.0,0.4782608695652174
contig_177,30741,54,0.7358490566037735,158.24528301886792,283.7571979411456,0.7343612764711623,418.05555555555554,11.0,179.0,0.0
contig_178,8825,14,0.7692307692307693,198.53846153846155,227.12538569786153,0.5984135977337111,377.2142857142857,24.0,306.0,0.6428571428571428
contig_179,11667,17,0.6875,231.75,235.75424174338835,0.6817519499442873,467.88235294117646,10.25,389.75,0.7647058823529411
contig_18,5929,8,0.7142857142857143,153.71428571428572,193.25239919834988,0.5000843312531624,370.625,0.0,205.5,0.625
contig_180,9587,17,0.8125,125.1875,175.03186093894448,0.7936789402315636,447.5882352941176,0.0,173.0,0.8823529411764706
contig_181,14528,21,0.5,191.45,262.640338676297,0.7421530837004405,513.4285714285714,0.0,203.75,0.33333333333333337
contig_182,8003,9,0.75,481.375,355.79134949433495,0.41047107334749466,365.0,88.75,725.75,0.0
contig_183,7200,9,0.625,261.875,296.8351552208734,0.6941666666666667,555.3333333333334,63.0,333.75,0.6666666666666667
contig_185,23489,27,0.9230769230769231,195.92307692307693,233.48775673336428,0.7899442292136745,687.2222222222222,2.25,296.0,0.5555555555555556
contig_186,10074,18,0.8823529411764706,164.7058823529412,204.80859492129036,0.7298987492555092,408.5,0.0,209.0,0.6111111111111112
contig_187,25856,32,0.8064516129032258,239.29032258064515,374.8136907979395,0.716506806930693,578.9375,7.0,235.5,0.59375
contig_188,25349,54,0.8113207547169812,117.52830188679245,183.82401384728743,0.7564795455442029,355.1111111111111,0.0,155.0,0.6111111111111112
contig_189,12819,17,0.5,264.5,240.09815701083588,0.6733754583040799,507.7647058823529,61.25,488.5,0.6470588235294117
contig_190,19806,28,0.7777777777777778,174.55555555555554,203.6184400681885,0.7412400282742603,524.3214285714286,2.0,228.0,0.7142857142857143
contig_191,7357,11,0.7,154.2,129.79969183322433,0.7231208372978116,483.6363636363636,65.5,259.75,0.4545454545454546
contig_192,13594,16,0.7333333333333333,115.0,126.68070097690493,0.8919376195380315,757.8125,2.5,245.5,0.625
contig_194,18398,34,0.6666666666666666,135.5151515151515,199.2966604369995,0.7702467659528209,416.79411764705884,14.0,139.0,0.11764705882352944
contig_195,12705,15,0.7142857142857143,192.78571428571428,283.2631735863384,0.7886658795749705,668.0,0.0,308.75,0.6666666666666667
contig_196,25104,33,0.78125,269.375,335.5160903369613,0.6596558317399618,501.8181818181818,7.5,455.0,0.7878787878787878
contig_197,13411,22,0.8571428571428571,141.38095238095238,149.05782712646928,0.7542316009246142,459.77272727272725,32.0,237.0,0.8181818181818181
contig_198,65493,107,0.8113207547169812,185.11320754716982,225.37366543330592,0.707953521750416,433.32710280373834,12.0,307.0,0.7383177570093458
contig_2,20420,31,0.7,157.33333333333334,202.57300467293814,0.7752203721841332,510.64516129032256,2.0,256.0,0.6129032258064516
contig_20,11267,16,0.8,229.06666666666666,313.3525100514683,0.6527913375343924,459.6875,1.5,278.0,0.625
contig_201,14190,13,0.9166666666666666,178.91666666666666,146.05618686732248,0.8132487667371389,887.6923076923077,55.5,266.75,0.7692307692307692
contig_202,6657,11,0.9,62.2,95.99145795329916,0.8284512543187622,501.3636363636364,0.75,73.25,0.36363636363636365
contig_203,17413,21,0.85,253.5,314.54101481364876,0.6889680124045253,571.2857142857143,72.5,356.0,0.7142857142857143
contig_204,12107,28,0.8148148148148148,132.1851851851852,219.29010668890734,0.7395721483439333,319.7857142857143,0.0,185.0,0.6785714285714286
contig_205,17401,22,0.7619047619047619,259.57142857142856,247.96362471877495,0.6871444169875295,543.5,36.0,400.0,0.6818181818181819
contig_206,9793,17,0.75,92.125,107.9785134876379,0.8419279076891657,485.0,0.0,198.25,0.7647058823529411
contig_207,36896,47,0.6521739130434783,214.04347826086956,265.044701440747,0.7347408933217693,576.7872340425532,4.25,245.0,0.7872340425531915
contig_208,6786,10,0.5555555555555556,64.11111111111111,52.60850046321083,0.8243442381373416,559.4,27.0,70.0,0.6
contig_21,69092,84,0.7469879518072289,203.26506024096386,287.5449921562763,0.7592051178139293,624.4642857142857,16.0,246.5,0.75
contig_210,25324,33,0.75,200.34375,184.59729977964872,0.7297425367240562,560.0,30.0,376.75,0.6060606060606061
contig_211,27704,41,0.7,161.5,227.0881987246365,0.7627057464626047,515.3658536585366,17.75,188.0,0.6341463414634146
contig_213,25449,42,0.8292682926829268,109.95121951219512,117.42085060605453,0.82753742779677,501.42857142857144,9.0,170.0,0.6904761904761905
contig_214,19388,22,0.7619047619047619,341.8095238095238,404.55355982420906,0.5549824633794099,489.09090909090907,66.0,620.0,0.6363636363636364
contig_215,15837,23,0.7727272727272727,214.45454545454547,228.12790018534602,0.6981120161646777,480.69565217391306,19.5,318.0,0.13043478260869568
contig_216,19827,27,0.6153846153846154,170.80769230769232,176.6835544196654,0.787562414888788,578.3333333333334,5.0,262.5,0.6296296296296297
contig_217,10963,19,0.7777777777777778,123.16666666666667,150.37813449213064,0.8203046611329016,473.3157894736842,2.25,155.5,0.8421052631578947
contig_218,18787,28,0.8888888888888888,204.44444444444446,222.3019856850275,0.7065524032575717,474.07142857142856,44.5,329.0,0.5714285714285714
contig_22,11075,17,0.75,131.625,145.37747203401221,0.7699322799097066,501.5882352941176,19.75,211.25,0.9411764705882353
contig_221,23442,38,0.8648648648648649,100.56756756756756,127.41919337379758,0.8514631857350056,525.2631578947369,0.0,153.0,0.6052631578947368
contig_222,15891,23,0.7272727272727273,206.13636363636363,198.33449602640886,0.724246428796174,500.39130434782606,48.25,321.0,0.6086956521739131
contig_223,7187,13,0.75,133.58333333333334,166.86594336639084,0.7616529845554474,421.0769230769231,0.0,232.75,0.6153846153846154
contig_224,14307,23,0.8636363636363636,215.8181818181818,234.10402434575113,0.605228209967149,376.4782608695652,20.25,310.0,0.6086956521739131
contig_225,19426,28,0.7777777777777778,162.4814814814815,224.32225007628355,0.7852362812725213,544.7857142857143,0.0,216.0,0.6785714285714286
contig_226,5111,5,0.5,194.0,228.2684822747109,0.7274505967521033,743.6,9.0,290.5,0.19999999999999996
contig_227,5306,7,0.8333333333333334,264.6666666666667,279.8741780792854,0.6121372031662269,464.0,49.5,485.5,0.7142857142857143
contig_228,10247,13,0.5833333333333334,138.0,272.5487723937375,0.867961354542793,684.1538461538462,0.0,81.0,0.6923076923076923
contig_229,18853,25,0.5416666666666666,181.70833333333334,181.35013996104024,0.6698668646899698,505.16,6.75,335.75,0.72
contig_23,5411,7,0.5,243.16666666666666,273.4236131394328,0.7299944557383109,564.2857142857143,83.75,275.5,0.7142857142857143
contig_230,8022,12,0.7272727272727273,134.27272727272728,138.97683973767386,0.8152580403889305,545.0,76.0,153.0,0.6666666666666667
contig_231,32085,44,0.6744186046511628,191.11627906976744,224.3449595996812,0.752345332709989,548.6136363636364,21.0,272.0,0.75
contig_232,12702,18,0.8823529411764706,129.41176470588235,146.24840223301362,0.7510628247520076,530.0,22.0,166.0,0.6111111111111112
contig_233,8659,14,0.7692307692307693,172.53846153846155,189.534496711778,0.6729414482041807,416.2142857142857,0.0,281.0,0.0714285714285714
contig_234,11052,12,0.36363636363636365,500.09090909090907,707.3580107497907,0.502442996742671,462.75,47.5,595.5,0.5833333333333333
contig_235,5788,7,0.8333333333333334,424.8333333333333,331.19753253240816,0.5295438838977194,437.85714285714283,155.75,593.25,0.1428571428571429
contig_236,22533,18,0.6470588235294118,383.7647058823529,491.00000352363304,0.700572493675942,877.0,76.0,643.0,0.0
contig_237,31309,37,0.7222222222222222,288.6666666666667,337.6038934741258,0.656999584783928,555.9459459459459,13.0,533.25,0.6216216216216216
contig_238,23475,36,0.7142857142857143,94.88571428571429,129.82180565871744,0.8750159744408945,570.5833333333334,0.0,127.0,0.7222222222222222
contig_239,29617,33,0.625,269.34375,329.1731696021678,0.7086470608096701,636.0,0.75,460.75,0.48484848484848486
contig_24,11644,24,0.8260869565217391,133.56521739130434,180.28548039801777,0.7046547578151838,341.875,18.0,178.0,0.7083333333333333
