contig_id,0,1,2,3,4,5,6,7,8,9,10
contig_1.concoct_part_0,-1.02067309e+00,4.68629432e-01,-5.81978779e-01,-5.41515628e-01,1.43312352e+00,-2.17034952e-01,6.42043801e-01,-9.15257562e-01,1.60598151e-01,2.18213457e-01,6.21356621e-02
contig_100.concoct_part_0,-1.18328554e+00,-1.44575021e+00,3.17840924e-01,-1.61842360e-01,7.37409878e-02,2.23711360e-01,6.42301663e-01,2.05685000e-01,-5.14706516e-01,-4.64559142e-01,-2.00424956e-01
contig_100.concoct_part_1,-1.30627536e+00,-1.33608208e+00,-1.84780306e-01,-5.82491468e-03,-3.49494710e-01,4.76734343e-02,-2.29569665e-01,3.02496603e-01,-4.55440998e-01,-4.89808149e-01,-3.70960991e-01
contig_101.concoct_part_0,-6.72073965e+00,2.30690643e-01,1.74337266e+00,6.49633551e-01,7.63208075e-01,1.00963268e-01,-6.25562848e-01,-2.51602260e-01,-5.96074855e-02,3.40912933e-01,-1.94381255e-01
contig_102.concoct_part_0,-3.60498966e+00,3.08453547e-01,4.04377919e-01,-4.90784147e-02,6.18785823e-01,1.39128406e-01,3.38702850e-01,-4.41609049e-01,2.74346245e-01,-1.51632777e-02,-3.69872784e-01
contig_104.concoct_part_0,-4.81339068e+00,-7.37833813e-01,9.49878752e-01,2.09535547e-01,5.92180928e-01,3.29130079e-01,1.03079140e-01,-1.93316907e-01,2.99501159e-01,2.78602520e-01,3.08684208e-01
contig_104.concoct_part_1,-4.16956409e+00,-6.91164821e-01,5.68526274e-01,3.23583305e-01,5.22416220e-01,-6.31763598e-02,1.05109437e-01,-1.54829182e-02,-2.51854840e-01,-3.20601326e-01,2.68448138e-01
contig_105.concoct_part_0,1.10873155e+01,1.86181468e+00,1.55103785e+00,1.39314032e-02,1.32858162e-01,-1.27593856e+00,5.20680009e-01,-3.34967021e-01,1.06077547e+00,-3.27353865e-01,-1.93904904e-01
contig_106.concoct_part_0,-7.90519351e-01,-2.39816242e+00,-1.08524655e-01,3.42418331e-01,-3.05563569e-01,-2.28265243e-02,2.18679540e-02,2.14193060e-01,-1.71926420e-01,-4.04514201e-01,2.97847500e-01
contig_106.concoct_part_1,-3.42370507e-01,-2.43427093e+00,-5.28779901e-01,3.45735949e-01,-3.73822179e-01,5.58233917e-02,-4.90357253e-01,2.85854968e-01,-3.61333136e-01,-2.76909023e-01,-9.96516152e-03
