contig_10220	CONCOCT.58
contig_10221	CONCOCT.41
contig_10222	CONCOCT.5
contig_10223	CONCOCT.41
contig_10224	CONCOCT.3
contig_10225	CONCOCT.18
contig_10226	CONCOCT.28
contig_10228	CONCOCT.6
contig_10229	CONCOCT.18
contig_1023	CONCOCT.49
contig_10230	CONCOCT.41
contig_10237	CONCOCT.20
contig_10238	CONCOCT.52
contig_10239	CONCOCT.18
contig_1024	CONCOCT.49
contig_10240	CONCOCT.18
contig_10241	CONCOCT.76
contig_10242	CONCOCT.52
contig_10243	CONCOCT.27
contig_10244	CONCOCT.56
contig_10245	CONCOCT.58
contig_10246	CONCOCT.58
contig_10248	CONCOCT.80
contig_10249	CONCOCT.58
contig_1025	CONCOCT.37
contig_10250	CONCOCT.18
contig_10251	CONCOCT.38
contig_10254	CONCOCT.38
contig_10255	CONCOCT.38
contig_10256	CONCOCT.38
contig_10257	CONCOCT.64
contig_10258	CONCOCT.61
contig_10259	CONCOCT.30
contig_1026	CONCOCT.29
contig_10260	CONCOCT.3
contig_10261	CONCOCT.19
contig_10262	CONCOCT.18
contig_10263	CONCOCT.51
contig_10264	CONCOCT.70
contig_10265	CONCOCT.70
contig_10266	CONCOCT.18
contig_10267	CONCOCT.64
contig_10268	CONCOCT.58
contig_10269	CONCOCT.56
contig_1027	CONCOCT.45
contig_10270	CONCOCT.47
contig_10272	CONCOCT.37
contig_10274	CONCOCT.58
contig_10275	CONCOCT.14
contig_10276	CONCOCT.41
contig_10277	CONCOCT.37
contig_10278	CONCOCT.18
contig_10279	CONCOCT.18
contig_1028	CONCOCT.45
contig_10280	CONCOCT.34
contig_10281	CONCOCT.45
contig_10282	CONCOCT.80
contig_10285	CONCOCT.30
contig_10286	CONCOCT.41
contig_10287	CONCOCT.76
contig_10288	CONCOCT.9
contig_10289	CONCOCT.48
contig_1029	CONCOCT.48
contig_10290	CONCOCT.64
contig_10291	CONCOCT.3
contig_10292	CONCOCT.37
contig_10293	CONCOCT.51
contig_10294	CONCOCT.64
contig_10295	CONCOCT.64
contig_10297	CONCOCT.48
contig_10298	CONCOCT.29
contig_10299	CONCOCT.49
contig_1030	CONCOCT.39
contig_10300	CONCOCT.76
contig_10301	CONCOCT.76
contig_10302	CONCOCT.79
contig_10303	CONCOCT.76
contig_10304	CONCOCT.76
contig_10305	CONCOCT.54
contig_10306	CONCOCT.76
contig_10307	CONCOCT.18
contig_10308	CONCOCT.62
contig_10309	CONCOCT.49
contig_10311	CONCOCT.18
contig_10312	CONCOCT.8
contig_10313	CONCOCT.58
contig_10314	CONCOCT.18
contig_10315	CONCOCT.69
contig_10316	CONCOCT.5
contig_10319	CONCOCT.27
contig_1032	CONCOCT.8
contig_10320	CONCOCT.18
contig_10321	CONCOCT.62
contig_10322	CONCOCT.77
contig_10323	CONCOCT.76
contig_10324	CONCOCT.76
contig_1033	CONCOCT.8
contig_10331	CONCOCT.76
contig_10332	CONCOCT.76
contig_10333	CONCOCT.76
contig_10334	CONCOCT.62
contig_10335	CONCOCT.27
contig_10336	CONCOCT.50
contig_10337	CONCOCT.58
contig_10338	CONCOCT.82
contig_1034	CONCOCT.18
contig_10341	CONCOCT.64
contig_10342	CONCOCT.51
contig_10343	CONCOCT.76
contig_10344	CONCOCT.18
contig_10345	CONCOCT.16
contig_10346	CONCOCT.18
contig_10347	CONCOCT.58
contig_10348	CONCOCT.51
contig_10349	CONCOCT.69
contig_10350	CONCOCT.41
contig_10353	CONCOCT.58
contig_10354	CONCOCT.9
contig_10355	CONCOCT.41
contig_10357	CONCOCT.48
contig_10360	CONCOCT.45
contig_10362	CONCOCT.69
contig_10363	CONCOCT.69
contig_10364	CONCOCT.8
contig_10365	CONCOCT.40
contig_10367	CONCOCT.28
contig_10368	CONCOCT.18
contig_10369	CONCOCT.59
contig_1037	CONCOCT.49
contig_10370	CONCOCT.58
contig_10371	CONCOCT.77
contig_10372	CONCOCT.3
contig_10373	CONCOCT.64
contig_10374	CONCOCT.65
contig_10375	CONCOCT.6
contig_10376	CONCOCT.52
contig_10377	CONCOCT.9
contig_10378	CONCOCT.3
contig_10379	CONCOCT.41
contig_1038	CONCOCT.49
contig_10380	CONCOCT.69
contig_10381	CONCOCT.18
contig_10383	CONCOCT.41
contig_10384	CONCOCT.77
contig_10385	CONCOCT.27
contig_10387	CONCOCT.58
contig_10388	CONCOCT.34
contig_10389	CONCOCT.58
contig_1039	CONCOCT.48
contig_10390	CONCOCT.62
contig_10392	CONCOCT.22
contig_10393	CONCOCT.5
contig_10394	CONCOCT.2
contig_10395	CONCOCT.29
contig_10397	CONCOCT.34
contig_10398	CONCOCT.18
contig_10399	CONCOCT.70
contig_1040	CONCOCT.49
contig_10400	CONCOCT.70
contig_10402	CONCOCT.70
contig_10403	CONCOCT.2
contig_10404	CONCOCT.44
contig_10405	CONCOCT.48
contig_10406	CONCOCT.41
contig_10407	CONCOCT.25
contig_10408	CONCOCT.38
contig_10409	CONCOCT.41
contig_1041	CONCOCT.49
contig_10410	CONCOCT.41
contig_10411	CONCOCT.77
contig_10412	CONCOCT.16
contig_10413	CONCOCT.70
contig_10414	CONCOCT.18
contig_10415	CONCOCT.9
contig_10416	CONCOCT.2
contig_10417	CONCOCT.77
contig_10418	CONCOCT.11
contig_10419	CONCOCT.28
contig_10420	CONCOCT.50
contig_10421	CONCOCT.70
contig_10424	CONCOCT.49
contig_10426	CONCOCT.18
contig_10427	CONCOCT.38
contig_10428	CONCOCT.58
contig_1043	CONCOCT.64
contig_10430	CONCOCT.30
contig_10431	CONCOCT.58
contig_10432	CONCOCT.27
contig_10433	CONCOCT.18
contig_10434	CONCOCT.56
contig_10435	CONCOCT.36
contig_10436	CONCOCT.41
contig_10437	CONCOCT.50
contig_10439	CONCOCT.64
contig_1044	CONCOCT.23
contig_10440	CONCOCT.7
contig_10441	CONCOCT.50
contig_10442	CONCOCT.18
contig_10443	CONCOCT.50
contig_10444	CONCOCT.50
contig_10445	CONCOCT.56
contig_10448	CONCOCT.4
contig_10449	CONCOCT.18
contig_1045	CONCOCT.58
contig_10450	CONCOCT.59
contig_10451	CONCOCT.82
contig_10452	CONCOCT.50
contig_10453	CONCOCT.41
contig_10454	CONCOCT.23
contig_10455	CONCOCT.62
contig_10456	CONCOCT.40
contig_10457	CONCOCT.41
contig_10458	CONCOCT.11
contig_10459	CONCOCT.70
contig_1046	CONCOCT.82
contig_10460	CONCOCT.25
contig_10461	CONCOCT.10
contig_10462	CONCOCT.5
contig_10463	CONCOCT.37
contig_10464	CONCOCT.41
contig_10465	CONCOCT.18
contig_10467	CONCOCT.2
contig_10469	CONCOCT.30
contig_1047	CONCOCT.44
contig_10470	CONCOCT.62
contig_10471	CONCOCT.70
contig_10472	CONCOCT.18
contig_10473	CONCOCT.30
contig_10477	CONCOCT.18
contig_10478	CONCOCT.8
contig_10479	CONCOCT.27
contig_1048	CONCOCT.38
contig_10480	CONCOCT.38
contig_10482	CONCOCT.18
contig_10483	CONCOCT.78
contig_10484	CONCOCT.76
contig_10485	CONCOCT.37
contig_10486	CONCOCT.37
contig_10487	CONCOCT.37
contig_10488	CONCOCT.41
contig_10489	CONCOCT.18
contig_10490	CONCOCT.71
contig_10491	CONCOCT.37
contig_10492	CONCOCT.64
contig_10493	CONCOCT.64
contig_10495	CONCOCT.9
contig_10496	CONCOCT.58
contig_10497	CONCOCT.50
contig_10498	CONCOCT.72
contig_10499	CONCOCT.62
contig_10500	CONCOCT.69
contig_10501	CONCOCT.37
contig_10503	CONCOCT.58
contig_10504	CONCOCT.41
contig_10506	CONCOCT.18
contig_10507	CONCOCT.69
contig_10508	CONCOCT.23
contig_10509	CONCOCT.52
contig_10510	CONCOCT.18
contig_10512	CONCOCT.41
contig_10513	CONCOCT.77
contig_10515	CONCOCT.18
contig_10516	CONCOCT.34
contig_10517	CONCOCT.56
contig_10518	CONCOCT.18
contig_10519	CONCOCT.29
contig_1052	CONCOCT.18
contig_10520	CONCOCT.64
contig_10521	CONCOCT.25
contig_10522	CONCOCT.76
contig_10523	CONCOCT.34
contig_10525	CONCOCT.62
contig_10526	CONCOCT.50
contig_10527	CONCOCT.51
contig_10528	CONCOCT.34
contig_10529	CONCOCT.77
contig_1053	CONCOCT.41
contig_10530	CONCOCT.11
contig_10531	CONCOCT.18
contig_10532	CONCOCT.5
contig_10533	CONCOCT.5
contig_10536	CONCOCT.70
contig_10537	CONCOCT.41
contig_10538	CONCOCT.58
contig_10539	CONCOCT.18
contig_1054	CONCOCT.25
contig_10540	CONCOCT.39
contig_10541	CONCOCT.50
contig_10544	CONCOCT.41
contig_10545	CONCOCT.16
contig_10546	CONCOCT.38
contig_10547	CONCOCT.18
contig_10548	CONCOCT.4
contig_10549	CONCOCT.4
contig_1055	CONCOCT.2
contig_10550	CONCOCT.4
contig_10551	CONCOCT.49
contig_10553	CONCOCT.60
contig_10554	CONCOCT.8
contig_10556	CONCOCT.14
contig_10557	CONCOCT.8
contig_10558	CONCOCT.61
contig_10559	CONCOCT.18
contig_1056	CONCOCT.37
contig_10563	CONCOCT.70
contig_10564	CONCOCT.18
contig_10565	CONCOCT.70
contig_10566	CONCOCT.58
contig_10567	CONCOCT.39
contig_10568	CONCOCT.70
contig_10569	CONCOCT.49
contig_1057	CONCOCT.18
contig_10570	CONCOCT.36
contig_10571	CONCOCT.28
contig_10572	CONCOCT.50
contig_10574	CONCOCT.29
contig_10575	CONCOCT.69
contig_10576	CONCOCT.18
contig_10577	CONCOCT.37
contig_10578	CONCOCT.21
contig_10579	CONCOCT.48
contig_1058	CONCOCT.29
contig_10580	CONCOCT.41
contig_10581	CONCOCT.27
contig_10582	CONCOCT.78
contig_10583	CONCOCT.58
contig_10584	CONCOCT.48
contig_10586	CONCOCT.41
contig_10587	CONCOCT.64
contig_10588	CONCOCT.64
contig_10589	CONCOCT.82
contig_10590	CONCOCT.82
contig_10591	CONCOCT.77
contig_10592	CONCOCT.24
contig_10593	CONCOCT.28
contig_10594	CONCOCT.48
contig_10595	CONCOCT.62
contig_10596	CONCOCT.41
contig_10597	CONCOCT.58
contig_10598	CONCOCT.58
contig_10599	CONCOCT.41
contig_1060	CONCOCT.62
contig_10600	CONCOCT.64
contig_10601	CONCOCT.64
contig_10602	CONCOCT.34
contig_10603	CONCOCT.37
contig_10604	CONCOCT.52
contig_10605	CONCOCT.41
contig_10606	CONCOCT.41
contig_10608	CONCOCT.25
contig_10609	CONCOCT.41
contig_1061	CONCOCT.62
contig_10610	CONCOCT.62
contig_10611	CONCOCT.50
contig_10612	CONCOCT.27
contig_10613	CONCOCT.77
contig_10616	CONCOCT.34
contig_10617	CONCOCT.33
contig_10618	CONCOCT.33
contig_10619	CONCOCT.8
contig_1062	CONCOCT.28
contig_10620	CONCOCT.37
contig_10621	CONCOCT.28
contig_10622	CONCOCT.9
contig_10623	CONCOCT.3
contig_10624	CONCOCT.62
contig_10625	CONCOCT.76
contig_10626	CONCOCT.28
contig_10627	CONCOCT.37
contig_10628	CONCOCT.2
contig_10629	CONCOCT.18
contig_10630	CONCOCT.82
contig_10631	CONCOCT.37
contig_10632	CONCOCT.4
contig_10635	CONCOCT.18
contig_10636	CONCOCT.27
contig_10637	CONCOCT.76
contig_10638	CONCOCT.30
contig_10639	CONCOCT.38
contig_10640	CONCOCT.3
contig_10642	CONCOCT.45
contig_10644	CONCOCT.41
contig_10649	CONCOCT.58
contig_10650	CONCOCT.28
contig_10651	CONCOCT.58
contig_10652	CONCOCT.58
contig_10654	CONCOCT.18
contig_10655	CONCOCT.18
contig_10656	CONCOCT.50
contig_10657	CONCOCT.56
contig_10658	CONCOCT.24
contig_1066	CONCOCT.28
contig_10661	CONCOCT.69
contig_10662	CONCOCT.64
contig_10663	CONCOCT.50
contig_10664	CONCOCT.66
contig_10665	CONCOCT.25
contig_10666	CONCOCT.20
contig_10667	CONCOCT.41
contig_10668	CONCOCT.58
contig_1067	CONCOCT.47
contig_10670	CONCOCT.7
contig_10671	CONCOCT.50
contig_10672	CONCOCT.18
contig_10673	CONCOCT.37
contig_10676	CONCOCT.16
contig_10677	CONCOCT.56
contig_10678	CONCOCT.27
contig_10679	CONCOCT.51
contig_1068	CONCOCT.66
contig_10680	CONCOCT.41
contig_10681	CONCOCT.61
contig_10682	CONCOCT.24
contig_10683	CONCOCT.24
contig_10684	CONCOCT.4
contig_10685	CONCOCT.24
contig_10686	CONCOCT.8
contig_10687	CONCOCT.27
contig_10688	CONCOCT.27
contig_1069	CONCOCT.77
contig_10690	CONCOCT.30
